Gender,Feature Subset,Classifier,Accuracy,F1-Score
0,Baseline,Naive Bayes,0.5490559052202888,0.5417915544991122
0,Baseline,k-NN,0.6694187338022954,0.761486743276136
0,Baseline,Multilayer Perceptron,0.6747871158830062,0.7935170713655658
0,Baseline,Random Forest,0.6858941132913736,0.7730169651670147
0,Baseline,SVM (Linear),0.6719733432062199,0.7862432463760143
0,Baseline,SVM (RBF),0.6584598296927064,0.7933328770952437
0,Baseline,Logistic Regression (with PCA),0.7022213994816735,0.794087991271701
0,MFCC,Naive Bayes,0.6198074787115884,0.6640185087240137
0,MFCC,k-NN,0.7213254350240652,0.7844326347139647
0,MFCC,Multilayer Perceptron,0.6937800814513143,0.7665226183931516
0,MFCC,Random Forest,0.7459459459459459,0.8155955502260538
0,MFCC,SVM (Linear),0.7512032580525732,0.81661441297574
0,MFCC,SVM (RBF),0.7596815994076268,0.8307262106321162
0,MFCC,Logistic Regression (with PCA),0.7236949278045168,0.7966185386409568
0,Wavelet,Naive Bayes,0.6422806368011847,0.6622850695663687
0,Wavelet,k-NN,0.7076638282117734,0.7844993574476857
0,Wavelet,Multilayer Perceptron,0.40688633839318766,0.2618754092438303
0,Wavelet,Random Forest,0.8171047760088855,0.8661370278173018
0,Wavelet,SVM (Linear),0.7594594594594594,0.8184443233485194
0,Wavelet,SVM (RBF),0.6639392817475009,0.7980164408065974
0,Wavelet,Logistic Regression (with PCA),0.7541651240281377,0.815255169873795
0,Vocal Fold,Naive Bayes,0.5846353202517586,0.5787716587210258
0,Vocal Fold,k-NN,0.6695668271010737,0.7568177224029256
0,Vocal Fold,Multilayer Perceptron,0.6832284339133654,0.7574881838591516
0,Vocal Fold,Random Forest,0.8060718252499075,0.8583432133855732
0,Vocal Fold,SVM (Linear),0.7130692336171788,0.774785411386101
0,Vocal Fold,SVM (RBF),0.7623843021103294,0.8301063730510944
0,Vocal Fold,Logistic Regression (with PCA),0.751203258052573,0.8106887611658686
1,Baseline,Naive Bayes,0.7205128205128205,0.8187351142558092
1,Baseline,k-NN,0.8,0.8861481412811717
1,Baseline,Multilayer Perceptron,0.823076923076923,0.9029449423815621
1,Baseline,Random Forest,0.8,0.8858111012827179
1,Baseline,SVM (Linear),0.823076923076923,0.9029449423815621
1,Baseline,SVM (RBF),0.8179487179487179,0.8994748464436156
1,Baseline,Logistic Regression (with PCA),0.8076923076923077,0.89254256872305
1,MFCC,Naive Bayes,0.5692307692307692,0.665842596746326
1,MFCC,k-NN,0.7538461538461538,0.8511041700460849
1,MFCC,Multilayer Perceptron,0.7717948717948717,0.8628546667239452
1,MFCC,Random Forest,0.8256410256410257,0.9015491031988969
1,MFCC,SVM (Linear),0.8333333333333333,0.9058954351985913
1,MFCC,SVM (RBF),0.823076923076923,0.9029449423815621
1,MFCC,Logistic Regression (with PCA),0.8153846153846155,0.8925707084024548
1,Wavelet,Naive Bayes,0.5717948717948718,0.6796862400384779
1,Wavelet,k-NN,0.7794871794871794,0.8701604818861135
1,Wavelet,Multilayer Perceptron,0.823076923076923,0.9029449423815621
1,Wavelet,Random Forest,0.8128205128205128,0.8935661799663416
1,Wavelet,SVM (Linear),0.7820512820512819,0.8622772293784644
1,Wavelet,SVM (RBF),0.823076923076923,0.9029449423815621
1,Wavelet,Logistic Regression (with PCA),0.7717948717948718,0.8607864222469631
1,Vocal Fold,Naive Bayes,0.6282051282051283,0.7391181315977793
1,Vocal Fold,k-NN,0.7769230769230769,0.8704205017707609
1,Vocal Fold,Multilayer Perceptron,0.7461538461538463,0.8442399388522521
1,Vocal Fold,Random Forest,0.8282051282051281,0.9036056396768684
1,Vocal Fold,SVM (Linear),0.7538461538461538,0.846784797706493
1,Vocal Fold,SVM (RBF),0.823076923076923,0.9029449423815621
1,Vocal Fold,Logistic Regression (with PCA),0.7948717948717949,0.8771322171579387
